  No    Ref    V       B-V     U-B
 0245   271   9.927   0.227  -0.570
 0245   314   9.925   0.180  -0.639
 0246   271  14.679   1.280   1.051
 0246   314  14.758   1.342   1.036
 0247   271  15.300   0.514   0.372
 0247   314  15.284   0.543   0.278
 0248   271  13.663   1.705   1.641
 0249   271  13.397   0.559   0.383
 0249   314  13.412   0.582   0.280
 0250   271  11.365   0.291  -0.269
 0250   314  11.388   0.229  -0.334
 0251   271  13.884   1.039   0.589
 0251   314  13.926   1.099   0.478
 0252   271  15.732   0.732   0.497
 0252   314  15.736   0.768   0.444
 0253   271  15.253   0.590   0.359
 0253   314  15.241   0.585   0.325
 0254   271  14.791   0.888   0.342
 0254   314  14.778   0.918   0.246
 0256   314  14.386   1.300   0.978
 0257   271  15.152   0.974   0.454
 0257   314  15.139   1.008   0.384
 0258   271  15.475   0.948   0.476
 0258   314  15.488   1.016   0.282
 0259   271  13.837   0.391   0.069
 0259   314  13.835   0.380   0.001
 0260   271   9.389   0.324  -0.459
 0260   314   9.414   0.298  -0.558
 0261   271  15.584   0.688   0.468
 0261   314  15.656   0.708   0.317
 0262   271  14.697   1.373   1.285
 0263   271  15.754   0.658   0.369
 0263   314  15.726   0.670   0.292
 0264   271  11.255   0.327  -0.069
 0264   314  11.247   0.291  -0.163
 0265   271  15.390   0.991   0.480
 0265   314  15.365   1.080   0.329
 0266   271  13.427   0.403  -0.001
 0266   314  13.433   0.398  -0.125
 0267   271  14.333   0.448   0.193
 0267   314  14.311   0.427   0.129
 0268   271  11.234   1.337   1.313
 0268   314  11.264   1.345   1.315
 0269   271  13.253   0.300  -0.101
 0269   314  13.309   0.305  -0.175
 0270   314  13.335   0.770   0.184
 0271   271  13.438   0.542   0.311
 0271   314  13.381   0.485   0.212
 0272   314  15.638   0.738   0.179
 0273   314  14.951   0.662   0.279
 0274   271  15.454   1.217   1.127
 0275   271  15.077   1.188   0.784
 0275   314  15.080   1.244   0.748
 0276   271  14.962   1.239   0.841
 0276   314  14.965   1.301   0.778
 0277   271  12.636   1.293   1.125
 0278   271  11.259   0.709   0.386
 0278   314  11.282   0.711   0.243
 0279   271  14.855   0.540   0.315
 0279   314  14.843   0.591   0.219
 0280   271  13.914   1.353   1.100
 0281   271  15.147   0.481   0.355
 0281   314  15.134   0.499   0.270
 0282   271  15.509   0.510   0.308
 0282   314  15.487   0.511   0.265
 0283   271  15.501   0.597   0.445
 0283   314  15.479   0.611   0.371
 0284   271  14.285   0.882   0.532
 0284   314  14.236   0.945   0.381
 0285   271  14.857   0.896   0.484
 0285   314  14.819   0.954   0.321
 0286   271  13.418   0.956   0.646
 0286   314  13.330   1.019   0.568
 0287   271  14.412   0.667   0.210
 0287   314  14.459   0.657   0.155
 0288   271  12.499   0.744   0.409
 0288   314  12.495   0.755   0.308
 0289   271  11.797   0.292  -0.319
 0289   314  11.771   0.252  -0.427
 0290   271  14.865   0.902   0.505
 0290   314  14.848   0.964   0.376
 0291   271  15.695   0.805   0.304
 0291   314  15.709   0.827   0.199
 0292   271  15.696   0.923   0.480
 0292   314  15.692   0.980   0.365
 0294   314  14.986   0.606   0.246
 0295   271  14.559   1.598   1.435
 0296   271  14.758   0.559   0.388
 0296   314  14.829   0.565   0.343
 0297   271  13.712   0.761   0.398
 0297   314  13.690   0.801   0.234
 0298   271  13.475   0.325  -0.042
 0298   314  13.530   0.304  -0.088
 0299   271  15.038   0.663   0.355
 0299   314  15.033   0.688   0.241
 0300   271  13.515   0.855   0.409
 0300   314  13.569   0.835   0.328
 0301   271  15.100   0.562   0.392
 0301   314  15.145   0.562   0.290
 0302   271  14.273   0.368   0.130
 0302   314  14.270   0.344   0.077
 0303   271  15.136   0.516   0.379
 0303   314  15.109   0.566   0.247
 0304   271  13.420   0.818   0.431
 0304   314  13.392   0.858   0.313
 0305   271  14.359   0.458   0.233
 0305   314  14.343   0.502   0.093
 0306   271  12.085   0.320  -0.242
 0306   314  12.058   0.279  -0.318
 0307   271  12.777   0.426  -0.113
 0307   314  12.776   0.380  -0.235
 0308   314  15.787   0.848   0.273
 0309   271   9.170   0.160  -0.670
 0309   314   9.642   0.338  -0.654
 0310   271  15.070   0.598   0.341
 0310   314  15.061   0.599   0.299
 0311   271  12.596   0.373  -0.183
 0311   314  12.575   0.314  -0.271
 0312   271  15.870   0.572   0.333
 0312   314  15.836   0.565   0.314
 0313   271  14.127   1.441   1.255
 0313   314  14.132   1.535   1.238
 0314   271  14.905   0.994   0.722
 0314   314  14.901   1.021   0.658
 0315   271  15.693   0.883   0.376
 0315   314  15.734   0.906   0.332
 0316   271  15.798   0.899   0.406
 0316   314  15.762   0.930   0.289
 0317   271  14.541   1.385   1.121
 0318   314  10.026   0.358  -0.381
 0319   271  15.154   0.668   0.479
 0319   314  15.138   0.700   0.386
 0320   271  15.109   0.559   0.345
 0320   314  15.095   0.606   0.252
 0321   271  14.154   0.803   0.343
 0321   314  14.178   0.811   0.279
 0322   271  15.693   0.642   0.348
 0322   314  15.734   0.643   0.291
 0323   271  11.049   0.226  -0.414
 0323   314  11.060   0.199  -0.516
 0324   271  15.524   0.628   0.479
 0324   314  15.560   0.595   0.364
 0325   271  14.806   0.420   0.171
 0325   314  14.829   0.407   0.139
 0326   271  11.787   0.335  -0.237
 0326   314  11.774   0.269  -0.317
 0327   271  11.655   0.391  -0.121
 0327   314  11.694   0.356  -0.263
 0328   271  14.740   0.554   0.347
 0328   314  14.718   0.550   0.261
 0329   271  15.705   0.866   0.387
 0329   314  15.698   0.963   0.218
 0330   271  15.645   0.778   0.408
 0330   314  15.641   0.868   0.205
 0331   271  14.641   0.459   0.266
 0331   314  14.659   0.442   0.215
 0332   271  14.891   0.500   0.349
 0332   314  14.877   0.527   0.210
 0333   271  15.972   0.699   0.493
 0333   314  15.931   0.725   0.402
 0334   271  15.107   0.970   0.621
 0334   314  15.112   1.034   0.470
 0335   271  14.487   0.638   0.464
 0335   314  14.445   0.658   0.352
 0336   271  14.482   0.507   0.264
 0336   314  14.480   0.484   0.203
 0337   271  13.978   0.933   0.531
 0337   314  13.939   0.980   0.401
 0338   271  13.912   0.843   0.448
 0338   314  13.878   0.905   0.269
 0339   271   8.860   0.270  -0.580
 0339   314   8.888   0.292  -0.552
 0340   314  14.805   0.823   0.274
 0341   271  14.501   0.793   0.330
 0341   314  14.442   0.783   0.080
 0342   271  14.679   0.570   0.458
 0342   314  14.658   0.592   0.351
 0343   271  14.562   0.509   0.343
 0343   314  14.545   0.527   0.260
 0344   271  15.284   0.495   0.374
 0344   314  15.317   0.501   0.321
 0345   271  15.301   0.520   0.360
 0345   314  15.279   0.530   0.288
 0346   271  14.910   0.601   0.445
 0346   314  14.859   0.625   0.312
 0347   271  14.814   0.969   0.770
 0347   314  14.814   1.002   0.645
 0348   314  15.657   0.763   0.233
 0349   271  13.987   0.920   0.512
 0349   314  13.980   0.933   0.399
 0350   271  11.726   0.411  -0.220
 0350   314  11.713   0.362  -0.330
 0351   271  13.882   0.396   0.086
 0351   314  13.866   0.406  -0.032
 0352   271  15.985   0.710   0.450
 0352   314  16.005   0.727   0.347
 0353   314  14.677   0.637   0.221
 0354   271  15.913   0.627   0.407
 0354   314  15.893   0.664   0.359
 0355   271  15.545   0.614   0.407
 0355   314  15.531   0.615   0.387
 0356   271  11.815   0.681   0.239
 0356   314  11.793   0.691   0.103
 0357   271  15.830   0.664   0.477
 0357   314  15.846   0.671   0.399
 0358   271  13.934   0.755   0.333
 0358   314  13.932   0.778   0.225
 0359   271  14.962   1.291   0.943
 0359   314  14.949   1.403   0.884
 0360   271  13.096   0.344  -0.096
 0360   314  13.068   0.286  -0.177
 0361   271  15.056   0.623   0.485
 0361   314  15.013   0.634   0.388
 0362   271  15.045   0.552   0.413
 0362   314  15.022   0.543   0.308
 0363   271  15.533   0.872   0.323
 0363   314  15.519   0.866   0.263
 0364   271  15.973   0.617   0.358
 0364   314  15.962   0.642   0.296
 0365   271  15.965   0.653   0.450
 0365   314  15.925   0.658   0.291
 0366   271  14.288   0.483   0.332
 0366   314  14.281   0.473   0.276
 0367   271  15.768   0.655   0.429
 0367   314  15.767   0.663   0.328
 0368   271  15.379   0.523   0.355
 0368   314  15.354   0.548   0.260
 0369   271  14.447   0.777   0.361
 0369   314  14.476   0.836   0.174
 0371   271  13.730   0.659   0.177
 0371   314  13.747   0.672   0.092
 0372   271  12.362   0.310  -0.244
 0372   314  12.370   0.256  -0.294
 0373   271  15.269   0.579   0.382
 0373   314  15.253   0.640   0.258
 0374   271  12.430   0.383  -0.132
 0374   314  12.410   0.365  -0.295
 0375   271  13.287   0.333  -0.058
 0375   314  13.275   0.324  -0.151
 0376   271  12.544   0.395  -0.204
 0376   314  12.580   0.278  -0.284
 0377   271  15.296   0.531   0.370
 0377   314  15.320   0.561   0.317
 0378   271  14.166   1.498   1.378
 0379   271  14.723   0.518   0.310
 0379   314  14.704   0.498   0.257
 0380   271  11.299   0.271  -0.308
 0380   314  11.295   0.212  -0.405
 0381   271  15.772   0.696   0.438
 0381   314  15.731   0.686   0.286
 0382   271  14.843   0.508   0.245
 0382   314  14.818   0.473   0.187
 0383   271  11.482   0.243  -0.342
 0383   314  11.522   0.215  -0.397
 0384   271  14.121   0.588   0.373
 0384   314  14.156   0.588   0.329
 0385   271  13.196   0.300  -0.104
 0385   314  13.184   0.298  -0.192
 0386   271  14.555   0.816   0.342
 0386   314  14.540   0.852   0.226
 0387   271  13.455   0.357  -0.002
 0387   314  13.482   0.345  -0.063
 0388   271  14.991   0.775   0.432
 0388   314  14.962   0.800   0.292
 0389   271  13.178   0.304  -0.210
 0389   314  13.166   0.307  -0.306
 0390   271  15.488   0.577   0.371
 0390   314  15.467   0.576   0.346
 0391   271  15.196   0.592   0.403
 0391   314  15.181   0.557   0.344
 0392   271  16.319   0.497   0.353
 0392   314  16.275   0.573   0.220
 0393   271  15.180   0.567   0.354
 0393   314  15.153   0.536   0.310
 0394   271  15.875   0.833   0.537
 0395   271  14.382   0.447   0.229
 0395   314  14.392   0.477   0.093
 0396   271  15.202   0.564   0.407
 0396   314  15.193   0.641   0.267
 0397   271  15.267   0.559   0.435
 0397   314  15.253   0.599   0.300
 0398   271  15.686   0.679   0.544
 0398   314  15.646   0.693   0.435
 0399   271  13.626   0.583   0.314
 0399   314  13.643   0.577   0.261
 0400   271  15.576   0.615   0.519
 0400   314  15.546   0.644   0.418
 0401   271  14.571   0.420   0.259
 0401   314  14.567   0.448   0.176
 0403   314  15.637   0.734   0.405
 0404   271  16.083   0.381  -0.153
 0404   314  16.065   0.398  -0.304
 0405   271  12.642   0.303  -0.073
 0405   314  12.671   0.221  -0.126
 0406   271  11.424   1.165   1.013
 0406   314  11.469   1.165   0.958
 0407   271  15.196   0.925   0.502
 0407   314  15.207   1.014   0.360
 0408   271  13.760   0.465   0.105
 0408   314  13.740   0.452   0.020
 0409   271  14.063   0.497   0.308
 0409   314  14.016   0.513   0.188
 0410   271  14.651   0.492   0.216
 0410   314  14.635   0.485   0.127
 0411   271  15.022   1.053   0.902
 0411   314  15.024   1.099   0.887
 0412   271  15.490   0.827   0.272
 0412   314  15.512   0.830   0.216
 0413   271  15.170   0.607   0.455
 0413   314  15.148   0.621   0.383
 0414   271  15.063   0.529   0.360
 0414   314  15.033   0.506   0.287
 0415   271  15.901   0.844   0.498
 0416   271  15.884   0.714   0.428
 0416   314  15.862   0.708   0.363
 0418   271  13.959   0.442   0.086
 0418   314  13.944   0.426   0.011
 0419   271  13.168   0.331  -0.081
 0419   314  13.163   0.312  -0.156
 0420   271  11.756   0.415  -0.349
 0420   314  11.830   0.404  -0.436
 0421   314  14.809   0.747   0.200
 0422   271  14.986   0.693   0.446
 0422   314  14.986   0.716   0.357
 0423   271  15.075   0.767   0.424
 0423   314  15.048   0.754   0.386
 0424   271  13.592   0.524   0.421
 0424   314  13.588   0.564   0.331
 0425   271  15.572   1.013   0.767
 0425   314  15.557   1.064   0.656
 0426   271  13.869   0.416   0.120
 0426   314  13.895   0.390   0.079
 0427   314  14.769   0.479   0.255
 0428   271  15.779   0.788   0.398
 0428   314  15.783   0.806   0.336
 0429   271  14.312   0.566   0.370
 0429   314  14.296   0.557   0.293
 0430   271  14.191   0.454   0.159
 0430   314  14.204   0.422   0.080
 0431   271  12.805   0.621   0.268
 0431   314  12.802   0.619   0.152
 0432   271  11.815   0.290  -0.291
 0432   314  11.857   0.239  -0.357
 0433   314  15.450   0.723   0.302
 0434   271  13.060   0.307  -0.128
 0434   314  13.083   0.271  -0.179
 0435   271  16.088   0.865   0.313
 0435   314  16.101   0.934   0.217
 0437   271  14.988   0.500   0.399
