  No    Ref    V       B-V     U-B
 0871   271  15.417   0.637   0.462
 0871   314  15.418   0.695   0.340
 0872   271  13.000   0.450  -0.096
 0872   314  12.987   0.415  -0.154
 0873   271  15.459   0.955   0.563
 0873   314  15.432   0.963   0.430
 0874   271  14.250   0.498   0.256
 0874   314  14.212   0.499   0.158
 0875   211  15.666   0.560         
 0875   271  15.487   0.248   0.233
 0875   314  15.469   0.558   0.167
 0876   211  12.704   0.375  -0.256
 0876   271  12.782   0.393  -0.192
 0876   314  12.745   0.404  -0.283
 0877   271  14.603   0.440   0.290
 0877   314  14.581   0.430   0.206
 0878   271  15.533   0.672   0.543
 0878   314  15.527   0.650   0.425
 0879   211  11.557   0.334  -0.432
 0879   271  11.637   0.322  -0.323
 0879   314  11.609   0.319  -0.425
 0880   211  13.026   0.405  -0.216
 0880   271  13.068   0.389  -0.112
 0880   314  12.987   0.398  -0.227
 0881   271  15.742   0.636   0.427
 0881   314  15.681   0.729   0.283
 0882   271  15.813   0.634   0.383
 0882   314  15.763   0.651   0.356
 0883   271  14.600   0.556   0.339
 0883   314  14.589   0.562   0.210
 0884   271  15.145   0.727   0.519
 0884   314  15.114   0.756   0.383
 0885   211  15.729   0.594         
 0885   271  15.810   0.672   0.496
 0885   314  15.775   0.658   0.358
 0886   271  15.370   1.013   0.591
 0886   314  15.332   0.997   0.480
 0887   271  13.963   0.515   0.141
 0887   314  13.924   0.519   0.025
 0888   271  12.041   0.454  -0.207
 0888   314  12.005   0.419  -0.319
 0889   271  15.356   0.647   0.440
 0889   314  15.359   0.622   0.356
 0890   271  15.694   0.762   0.340
 0890   314  15.682   0.806   0.268
 0891   271  14.760   0.523   0.291
 0891   314  14.742   0.508   0.191
 0892   211  11.196   0.332  -0.440
 0892   271  11.287   0.311  -0.337
 0892   314  11.253   0.310  -0.432
 0893   211  11.940   0.375  -0.253
 0893   271  11.904   0.436  -0.140
 0893   314  11.952   0.363  -0.268
 0894   271  15.084   1.056   0.926
 0894   314  15.070   1.085   0.755
 0895   271  14.734   0.600   0.447
 0895   314  14.710   0.601   0.329
 0896   211  12.466   0.375         
 0896   271  12.540   0.378  -0.133
 0896   314  12.546   0.351  -0.278
 0897   271  13.612   0.430   0.056
 0897   314  13.619   0.391  -0.039
 0898   211  14.579   0.485         
 0898   271  14.598   0.521   0.263
 0898   314  14.553   0.513   0.158
 0899   271   9.212   2.469   2.659
 0899   314   9.005   2.476   2.568
 0900   271  12.546   0.404  -0.086
 0900   314  12.532   0.441  -0.226
 0901   271  14.936   0.557   0.371
 0901   314  14.904   0.544   0.264
 0902   271  14.901   1.158   0.990
 0902   314  14.881   1.144   0.934
 0903   271  15.819   0.675   0.536
 0903   314  15.809   0.726   0.352
 0904   271  12.530   0.427  -0.052
 0904   314  12.520   0.468  -0.206
 0905   271  12.863   1.362   1.222
 0906   271  15.385   0.553   0.427
 0906   314  15.357   0.559   0.330
 0907   211  12.351   0.357  -0.297
 0907   271  12.449   0.354  -0.210
 0907   314  12.407   0.344  -0.312
 0908   271  15.634   0.656   0.493
 0908   314  15.629   0.654   0.392
 0909   211  15.156   0.664         
 0909   271  15.272   0.777   0.571
 0909   314  15.194   0.741   0.470
 0910   271  15.462   0.922   0.417
 0910   314  15.398   0.978   0.270
 0911   211  11.351   0.319  -0.435
 0911   271  11.427   0.298  -0.324
 0911   314  11.407   0.268  -0.400
 0913   271  15.160   0.640   0.388
 0913   314  15.136   0.585   0.318
 0914   211  15.167   0.564         
 0914   271  15.279   0.634   0.457
 0914   314  15.219   0.606   0.386
 0915   271  15.774   0.676   0.558
 0915   314  15.755   0.711   0.356
 0916   271  14.873   1.074   0.703
 0916   314  14.845   1.097   0.589
 0917   211  14.786   0.464   0.213
 0917   271  14.850   0.495   0.352
 0917   314  14.822   0.472   0.252
 0918   271  15.709   0.882   0.485
 0918   314  15.714   0.869   0.354
 0919   271  11.031   0.482  -0.185
 0919   314  11.015   0.464  -0.303
 0920   271  15.066   0.851   0.550
 0920   314  15.092   0.894   0.369
 0921   271  15.406   0.885   0.480
 0921   314  15.345   0.891   0.429
 0922   211   9.496   0.340  -0.521
 0922   271   9.582   0.327  -0.389
 0922   314   9.556   0.337  -0.512
 0923   211  13.034   0.363  -0.252
 0923   271  13.105   0.368  -0.164
 0923   314  13.117   0.308  -0.241
 0924   211  15.340   0.453         
 0924   271  15.111   0.539   0.405
 0924   314  15.134   0.481   0.165
 0925   271  15.334   0.709   0.458
 0925   314  15.334   0.672   0.366
 0926   211  11.557   0.370  -0.261
 0926   271  11.638   0.382  -0.176
 0926   314  11.628   0.318  -0.250
 0927   271  14.222   0.394   0.174
 0927   314  14.189   0.382   0.114
 0928   271  13.759   0.975   0.745
 0928   314  13.722   0.990   0.639
 0929   211  10.289   0.344  -0.466
 0929   271  10.376   0.332  -0.348
 0929   314  10.324   0.351  -0.458
 0930   211  12.366   0.415  -0.155
 0930   271  12.464   0.425  -0.142
 0930   314  12.425   0.380  -0.219
 0931   271  15.202   0.756   0.412
 0931   314  15.148   0.797   0.288
 0932   271  12.834   0.376  -0.103
 0932   314  12.812   0.394  -0.213
 0933   314  14.432   1.059   0.776
 0934   211  14.676   0.523         
 0934   314  14.647   0.568   0.205
 0935   211  14.044   0.454   0.106
 0935   271  14.119   0.486   0.170
 0935   314  14.092   0.469   0.056
 0936   211  10.381   0.326  -0.502
 0936   271  10.477   0.310  -0.387
 0936   314  10.441   0.321  -0.499
 0937   271  14.925   0.634   0.454
 0937   314  14.886   0.626   0.397
 0938   271  14.179   0.449   0.168
 0938   314  14.164   0.441   0.068
 0939   211  12.244   0.370  -0.315
 0939   271  12.326   0.379  -0.215
 0939   314  12.306   0.355  -0.318
 0940   271  15.618   0.642   0.518
 0940   314  15.547   0.684   0.395
 0941   211  15.218   0.523         
 0941   271  15.212   0.555   0.393
 0941   314  15.179   0.543   0.233
 0942   271  14.996   0.715   0.504
 0942   314  14.963   0.718   0.378
 0943   271  11.125   0.511   0.144
 0943   314  11.121   0.480   0.040
 0944   271  13.609   0.791   0.414
 0944   314  13.612   0.795   0.259
 0945   211  14.807   0.471   0.252
 0945   271  14.862   0.530   0.347
 0945   314  14.836   0.506   0.231
 0946   211  14.391   0.539   0.321
 0946   271  14.470   0.602   0.387
 0946   314  14.431   0.584   0.274
 0947   271  15.922   0.703   0.548
 0947   314  15.886   0.711   0.427
 0948   211  15.624   0.557         
 0948   271  15.598   0.588   0.469
 0948   314  15.594   0.634   0.305
 0949   211  15.676   0.597         
 0949   271  15.713   0.655   0.527
 0949   314  15.701   0.678   0.459
 0950   211  11.292   0.361         
 0950   271  11.332   0.375  -0.326
 0950   314  11.318   0.349  -0.403
 0951   271  14.926   0.497   0.384
 0951   314  14.856   0.514   0.304
 0952   211  12.053   0.375  -0.282
 0952   271  12.026   0.385  -0.288
 0952   314  12.111   0.335  -0.282
 0953   271  14.920   0.568   0.450
 0953   314  14.915   0.581   0.277
 0954   271  14.647   0.849   0.427
 0954   314  14.611   0.828   0.327
 0955   271  15.819   0.717   0.525
 0955   314  15.782   0.743   0.432
 0956   211  12.531   0.402  -0.190
 0956   271  12.614   0.420  -0.103
 0956   314  12.573   0.422  -0.221
 0957   271  15.108   0.585   0.451
 0957   314  15.083   0.591   0.308
 0958   271  14.603   0.443   0.287
 0958   314  14.551   0.462   0.176
 0959   211  12.835   0.396  -0.186
 0959   271  12.905   0.399  -0.088
 0959   314  12.886   0.430  -0.242
 0960   211  13.700   0.416   0.007
 0960   271  13.797   0.432   0.077
 0960   314  13.744   0.426  -0.021
 0961   271  14.769   0.523   0.366
 0961   314  14.752   0.508   0.260
 0962   271  14.620   0.665   0.356
 0962   314  14.593   0.606   0.245
 0963   211  11.000   0.320  -0.465
 0963   271  11.092   0.312  -0.369
 0963   314  11.073   0.287  -0.448
 0964   211  14.444   0.459   0.233
 0964   271  14.506   0.506   0.269
 0965   211  12.603   0.413         
 0965   271  12.650   0.440  -0.092
 0965   314  12.645   0.433  -0.225
 0966   211  14.236   0.453   0.149
 0966   271  14.308   0.478   0.236
 0966   314  14.280   0.462   0.134
 0967   271  14.029   0.512   0.129
 0967   314  14.027   0.492   0.027
 0968   271  15.823   0.704   0.577
 0968   314  15.819   0.701   0.414
 0969   211  12.983   1.132   1.067
 0969   271  13.037   1.341   1.000
 0970   211  14.411   0.483   0.198
 0970   271  14.134   0.278   0.138
 0971   271  15.843   0.794   0.542
 0971   314  14.470   0.471   0.164
 0971   314  15.795   0.736   0.368
 0972   271  11.668   0.377  -0.272
 0972   314  11.660   0.373  -0.374
 0973   271  14.863   0.611   0.336
 0973   314  14.825   0.588   0.250
 0974   271  15.519   0.684   0.579
 0974   314  15.509   0.673   0.419
 0975   271  15.966   0.777   0.562
 0975   314  15.921   0.750   0.443
 0976   211  11.473   0.371  -0.280
 0976   271  11.547   0.384  -0.202
 0976   314  11.526   0.384  -0.306
 0977   211  11.063   0.352  -0.402
 0977   271  11.147   0.352  -0.305
 0977   314  11.131   0.337  -0.403
 0978   211  10.636   0.360  -0.441
 0978   271  10.706   0.363  -0.348
 0978   314  10.684   0.347  -0.438
 0979   271  14.316   0.560   0.310
 0979   314  14.291   0.539   0.212
 0980   211   9.670   0.328  -0.468
 0980   271   9.760   0.331  -0.371
 0980   314   9.746   0.314  -0.475
 0981   271  13.086   0.419  -0.107
 0981   314  13.041   0.398  -0.205
 0982   211  13.904   0.428   0.056
 0982   271  13.978   0.473   0.107
 0982   314  13.951   0.437   0.014
 0983   271  10.659   1.185   1.322
 0984   271  15.190   0.648   0.467
 0984   314  15.184   0.630   0.374
 0985   211  12.095   0.371  -0.267
 0985   271  12.126   0.366  -0.182
 0985   314  12.132   0.384  -0.284
 0986   211  12.560   0.375  -0.267
 0986   271  12.640   0.388  -0.158
 0986   314  12.621   0.352  -0.268
 0987   211  14.686   0.548         
 0987   271  14.686   0.634   0.444
 0987   314  14.654   0.608   0.319
 0988   211  12.759   0.386  -0.207
 0988   271  12.812   0.391  -0.133
 0988   314  12.828   0.320  -0.159
 0989   271  15.466   0.656   0.505
 0989   314  15.423   0.641   0.377
 0990   211  14.436   0.445   0.149
 0990   271  14.495   0.486   0.185
 0990   314  14.474   0.456   0.086
 0991   211  11.407   0.363  -0.377
 0991   271  11.474   0.370  -0.273
 0991   314  11.465   0.352  -0.388
 0992   211   9.902   0.341  -0.443
 0992   271  10.010   0.336  -0.406
 0992   314  10.001   0.308  -0.442
 0993   271  13.433   0.458   0.013
 0993   314  13.416   0.448  -0.076
 0994   271  15.240   0.602   0.441
 0994   314  15.208   0.635   0.294
 0995   271  15.206   1.055   0.563
 0995   314  15.173   1.025   0.443
 0997   271  14.967   1.013   0.563
 0997   314  14.950   1.020   0.480
 0998   271  15.599   0.983   0.427
 0998   314  15.616   0.937   0.351
 0999   211  13.361   0.407  -0.093
 0999   271  13.411   0.427  -0.032
 0999   314  13.379   0.380  -0.110
 1000   211  13.130   0.457   0.056
 1000   271  13.211   0.486   0.116
 1000   314  13.015   0.388  -0.101
 1000   314  13.180   0.445   0.058
 1001   271  10.503   0.367  -0.360
 1001   314  10.485   0.354  -0.447
 1002   271  15.165   0.526   0.395
 1002   314  15.089   0.580   0.273
 1003   271  14.506   0.570   0.359
 1003   314  14.473   0.566   0.284
 1004   211  10.834   0.352  -0.419
 1004   271  10.927   0.348  -0.338
 1004   314  10.905   0.330  -0.420
 1005   271  13.920   0.946   0.548
 1005   314  13.918   0.964   0.354
 1006   271  15.310   0.973   0.493
 1006   314  15.288   0.990   0.393
 1007   211  15.634   0.604         
 1007   271  15.578   0.752   0.222
 1007   314  15.523   0.669   0.458
 1008   271  13.953   0.452   0.124
 1008   314  13.931   0.459   0.018
 1009   271  15.652   0.676   0.503
 1009   314  15.613   0.684   0.371
 1010   271  15.493   0.702   0.473
 1010   314  15.454   0.644   0.426
 1011   271  15.577   0.949   0.478
 1011   314  15.545   0.918   0.374
 1012   271  12.368   0.362  -0.158
 1012   314  12.345   0.374  -0.261
 1013   271  14.852   0.677   0.506
 1013   314  14.838   0.686   0.409
 1014   211  12.933   0.396  -0.167
 1014   271  12.988   0.407  -0.102
 1014   314  12.971   0.393  -0.205
 1015   211  10.542   0.302         
 1015   271  10.611   0.292  -0.043
 1015   314  10.563   0.269  -0.104
 1016   271  14.197   0.501   0.082
 1016   314  14.201   0.488  -0.021
 1017   211  15.808   0.605         
 1017   314  15.394   0.649   0.345
 1018   211  15.638   0.521         
 1018   314  15.328   0.669   0.371
 1019   271  14.440   0.907   0.405
 1019   314  14.388   0.908   0.281
 1020   211  13.750   0.417  -0.046
 1020   271  13.826   0.444   0.086
 1020   314  13.796   0.446  -0.073
 1021   211  12.984   0.417  -0.083
 1021   271  13.053   0.437  -0.006
 1022   271  13.697   0.512   0.089
 1022   314  13.706   0.503  -0.049
 1023   271  12.610   0.670   0.169
 1023   314  12.633   0.622   0.065
 1024   271  15.158   0.914   0.519
 1024   314  15.119   0.964   0.391
 1025   211  15.752   0.628         
 1025   271  15.788   0.715   0.577
 1025   314  15.736   0.735   0.448
 1026   211  15.231   0.863         
 1026   271  15.337   1.033   0.644
 1026   314  15.304   1.005   0.492
 1027   271  16.083   0.786   0.422
 1027   314  16.014   0.795   0.367
 1028   211  14.786   0.485         
 1028   271  14.837   0.553   0.353
 1028   314  14.812   0.519   0.254
 1029   271  14.992   0.635   0.503
 1029   314  14.959   0.658   0.371
 1030   211  16.037   0.704         
 1030   271  16.068   0.769   0.476
 1030   314  16.038   0.756   0.435
 1031   211  15.238   0.537         
 1031   271  15.257   0.635   0.472
 1031   314  15.241   0.608   0.411
 1032   271  15.601   0.891   0.465
 1032   314  15.610   0.936   0.293
 1033   271  14.327   0.516   0.301
 1033   314  14.290   0.500   0.216
 1034   211  15.127   0.565         
 1034   271  15.191   0.638   0.453
 1034   314  15.156   0.649   0.339
 1035   271  14.384   0.423   0.200
 1035   314  14.325   0.428   0.081
 1036   271  15.364   0.600   0.472
 1036   314  15.337   0.598   0.337
 1037   271  14.029   0.406   0.146
 1037   314  13.982   0.388   0.062
 1038   211  15.588   0.587         
 1038   271  15.625   0.713   0.580
 1038   314  15.600   0.666   0.448
 1039   271  15.215   0.609   0.463
 1039   314  15.194   0.601   0.349
 1040   271  14.548   0.678   0.456
 1040   314  14.536   0.659   0.332
 1041   211  11.026   0.345         
 1041   271  11.115   0.358  -0.305
 1041   314  11.111   0.330  -0.411
 1042   271  15.024   1.043   0.752
 1042   314  15.018   1.076   0.672
 1043   271  13.425   1.297   1.035
 1043   314  13.372   1.334   0.953
 1046   271  15.211   1.464   0.949
 1047   271  12.104   0.342  -0.311
 1047   314  12.105   0.308  -0.385
 1048   271  15.243   0.676   0.435
 1048   314  15.214   0.647   0.365
 1049   211  13.876   0.448         
 1049   271  13.919   0.495   0.059
 1049   314  13.888   0.491  -0.056
 1050   271  16.020   0.809   0.580
 1050   314  15.990   0.765   0.449
 1051   271  15.131   0.911   0.475
 1051   314  15.113   0.972   0.345
 1052   211  15.207   0.553         
 1052   271  15.297   0.417  -0.029
 1052   314  15.198   0.599   0.316
 1053   271  14.475   0.474   0.410
 1053   314  14.438   0.505  -0.006
 1054   211  13.792   0.784         
 1054   271  13.867   0.925   0.599
 1054   314  13.833   0.927   0.439
 1055   271  15.099   0.786   0.600
 1055   314  15.099   0.770   0.458
 1056   211  14.642   0.485         
 1056   271  14.730   0.561   0.344
 1056   314  14.681   0.530   0.195
 1057   211   6.543   0.440         
 1057   271   6.550   0.470  -0.380
 1057   314   6.567   0.452  -0.346
 1058   211  13.599   0.439         
 1058   271  13.669   0.483   0.083
 1058   314  13.631   0.468  -0.050
 1059   211  14.700   0.497         
 1059   271  14.788   0.558   0.382
 1059   314  14.743   0.548   0.224
 1060   271  15.451   0.650   0.500
 1060   314  15.441   0.606   0.381
 1061   271  13.771   0.488   0.043
 1061   314  13.744   0.462  -0.072
 1062   271  12.568   0.601   0.472
 1062   314  12.571   0.618   0.306
 1063   271  15.469   0.661   0.553
 1063   314  15.430   0.669   0.408
 1064   211  14.641   0.484         
 1064   314  14.596   0.504   0.156
 1065   271  13.138   0.370  -0.027
 1065   314  13.112   0.369  -0.144
 1066   211  13.136   0.449         
 1066   271  13.196   0.453  -0.011
 1066   314  13.161   0.450  -0.133
 1067   271  10.554   0.303  -0.335
 1067   314  10.514   0.318  -0.496
 1070   271  15.675   0.899   0.559
 1070   314  15.643   0.908   0.463
 1071   271  16.002   0.670   0.526
 1071   314  15.927   0.701   0.437
 1072   211  13.360   0.556         
 1072   271  13.398   0.563   0.029
 1072   314  13.388   0.549  -0.091
 1073   271  13.028   0.423  -0.048
 1073   314  12.985   0.409  -0.176
 1074   271  15.777   0.624   0.173
 1074   314  16.038   0.802   0.389
 1075   271  15.666   0.672   0.460
 1075   314  15.650   0.678   0.338
 1076   271  14.791   0.517   0.355
 1076   314  14.766   0.519   0.246
 1077   211  13.771   0.445         
 1077   271  13.839   0.478   0.100
 1077   314  13.819   0.472  -0.002
 1078   211   9.762   0.352         
 1078   271   9.830   0.357  -0.357
 1078   314   9.820   0.314  -0.461
 1079   211  15.849   0.553         
 1079   271  15.729   0.720   0.752
 1079   314  15.629   0.637   0.205
 1080   211  11.132   0.367         
 1080   271  11.217   0.379  -0.304
 1080   314  11.178   0.351  -0.381
 1081   211  14.297   0.444         
 1081   271  14.369   0.515   0.168
 1081   314  14.330   0.486   0.079
 1082   271  14.494   0.843   0.369
 1083   211  13.404   0.438         
 1083   314  13.370   0.440  -0.116
 1084   314  15.710   0.647   0.167
 1085   211  10.418   0.348         
 1085   271  10.507   0.357  -0.374
 1085   314  10.470   0.353  -0.457
 1086   271  14.456   1.444   1.144
 1086   314  14.453   0.879   0.227
 1087   271  15.842   0.749   0.466
 1087   314  15.811   0.761   0.363
 1088   271  13.055   1.406   1.311
 1089   271  14.804   0.526   0.337
 1089   314  14.731   0.559   0.234
 1090   211  15.877   0.680         
 1091   271  15.971   0.734   0.448
 1091   314  15.765   0.686   0.315
 1092   271  15.196   0.561   0.451
 1092   314  15.165   0.581   0.314
 1093   211  13.466   0.434         
 1093   271  13.542   0.472  -0.061
 1093   314  13.500   0.463  -0.120
 1094   271  14.182   0.829   0.319
 1094   314  14.176   0.832   0.199
 1095   211  13.627   0.449         
 1095   271  13.675   0.491   0.048
 1095   314  13.659   0.470  -0.047
 1096   211  15.089   0.530         
 1096   271  15.147   0.622   0.468
 1096   314  15.118   0.600   0.376
 1097   271  14.944   0.861   0.441
 1097   314  14.949   0.884   0.351
 1098   271  14.215   0.482   0.192
 1098   314  14.160   0.490   0.078
 1099   271  13.225   0.557   0.301
 1099   314  13.201   0.569   0.175
 1100   271  14.078   0.828   0.427
 1100   314  14.056   0.814   0.318
 1101   271  15.137   0.581   0.434
 1101   314  15.115   0.569   0.327
 1102   271  14.516   1.472   1.272
 1102   314  14.495   1.507   1.228
 1103   271  13.911   0.554   0.451
 1103   314  13.894   0.578   0.358
 1104   271  14.619   0.869   0.328
 1104   314  14.603   0.893   0.151
 1105   211  13.979   0.445         
 1105   271  14.038   0.509   0.154
 1105   314  14.013   0.475   0.025
 1106   211  14.083   0.462         
 1106   271  14.147   0.531   0.156
 1106   314  14.133   0.487   0.055
 1107   271  13.784   0.463   0.072
 1107   314  13.774   0.459  -0.037
 1108   211  13.867   0.436         
 1108   271  14.045   0.478   0.158
 1108   314  13.976   0.530  -0.041
 1109   211  10.965   0.385         
 1109   271  11.039   0.405  -0.279
 1109   314  11.011   0.384  -0.381
 1110   211  13.413   0.416         
 1110   314  13.482   0.437  -0.080
 1111   271  14.639   1.228   0.855
 1111   314  14.551   1.404   0.760
 1112   271  13.960   0.805   0.389
 1112   314  13.935   0.816   0.263
 1113   271  14.486   0.522   0.222
 1113   314  14.439   0.511   0.116
 1114   271  12.370   0.433   0.138
 1114   314  12.370   0.395   0.069
 1115   271  15.697   0.705   0.465
 1115   314  15.703   0.705   0.407
 1116   211   9.248   0.382         
 1116   314   9.286   0.393  -0.440
 1117   211  15.764   0.642         
 1117   271  15.787   0.713   0.488
 1117   314  15.747   0.730   0.438
 1118   271  14.150   0.488   0.132
 1118   314  14.083   0.492   0.027
 1119   271  12.617   1.358   1.170
 1120   271  15.778   0.620   0.423
 1120   314  15.764   0.642   0.345
 1121   211  13.879   0.416         
 1121   314  13.714   0.471  -0.049
 1122   211  12.231   0.432         
 1122   271  12.275   0.472  -0.089
 1122   314  12.277   0.419  -0.162
 1123   271  14.647   1.015   0.693
 1123   314  14.657   0.990   0.552
 1124   271  15.671   0.653   0.622
 1124   314  15.635   0.695   0.360
 1125   271  14.220   0.542   0.298
 1125   314  14.217   0.554   0.137
 1126   271  12.760   0.424  -0.165
 1126   314  12.802   0.313  -0.196
 1127   271  13.831   0.562   0.386
 1127   314  13.778   0.572   0.298
 1128   211  12.156   0.417         
 1128   271  12.242   0.438  -0.188
 1128   314  12.204   0.397  -0.223
 1129   211  12.928   0.460         
 1129   271  12.981   0.501  -0.013
 1129   314  12.979   0.471  -0.060
 1130   271  14.466   0.546   0.258
 1130   314  14.441   0.529   0.144
 1131   271  13.414   0.434  -0.011
 1131   314  13.415   0.412  -0.094
 1132   211   8.431   0.387         
 1132   314   8.477   0.395  -0.451
 1133   211   8.982   0.402         
 1133   314   9.038   0.416  -0.466
 1134   271  15.511   1.052   0.609
 1134   314  15.506   1.044   0.525
 1135   271  14.458   0.642   0.418
 1135   314  14.405   0.641   0.352
 1136   271  15.472   0.653   0.504
 1136   314  15.451   0.641   0.398
 1137   271  15.089   0.640   0.459
 1137   314  15.079   0.608   0.362
 1138   211  12.634   1.474         
 1138   271  12.692   1.779   1.627
 1139   271  15.888   0.887   0.411
 1139   314  15.937   0.915   0.407
 1140   271  13.173   1.333   1.097
 1141   271   9.877   0.320  -0.397
 1141   314   9.870   0.319  -0.486
 1142   271  14.812   0.599   0.387
 1142   314  14.823   0.621   0.267
 1143   314  15.414   0.613   0.366
 1144   271  14.183   1.493   1.149
 1144   314  14.150   1.542   1.160
 1145   211  14.806   0.527         
 1145   271  14.837   0.587   0.381
 1145   314  14.807   0.578   0.272
 1146   271  15.458   0.997   0.459
 1146   314  15.427   0.969   0.370
 1147   211  14.603   0.572         
 1147   271  14.724   0.646   0.313
 1147   314  14.621   0.613   0.286
 1148   271  13.988   0.696   0.393
 1148   314  13.982   0.655   0.296
 1149   271  15.284   0.655   0.493
 1149   314  15.262   0.647   0.359
 1150   271  13.275   0.966   0.605
 1150   314  13.265   0.958   0.470
 1152   271  14.807   0.587   0.390
 1152   314  14.866   0.581   0.323
 1153   271  15.165   0.931   0.389
 1153   314  15.147   0.925   0.268
 1154   271  14.716   0.544   0.347
 1154   314  14.687   0.512   0.249
 1155   271  12.566   0.521   0.093
 1155   314  12.556   0.479  -0.038
 1156   271  14.556   0.887   0.605
 1156   314  14.506   0.883   0.458
 1157   271  14.991   0.532   0.346
 1157   314  14.964   0.506   0.267
 1158   271  14.642   0.505   0.315
 1158   314  14.643   0.490   0.251
 1159   271  15.808   0.706   0.464
 1159   314  15.789   0.686   0.365
 1160   271  14.930   0.904   0.338
 1160   314  14.901   0.908   0.214
 1161   271  10.257   0.454  -0.381
 1161   314  10.229   0.420  -0.410
 1162   271   6.650   0.520  -0.450
 1162   314   6.700   0.503  -0.428
 1163   271  15.158   0.695   0.549
 1163   314  15.107   0.676   0.253
 1164   271  14.720   0.576   0.310
 1164   314  14.687   0.581   0.174
 1165   271  12.985   0.351  -0.093
 1165   314  12.960   0.330  -0.200
 1166   271  13.137   0.532  -0.038
 1166   314  13.128   0.548  -0.184
 1167   271  14.044   0.855   0.386
 1167   314  14.027   0.850   0.257
 1168   271  14.832   0.443   0.281
 1168   314  14.759   0.483   0.176
 1169   271  15.598   0.610   0.403
 1169   314  15.548   0.600   0.382
 1170   271  14.313   0.416   0.169
 1170   314  14.241   0.457   0.032
 1171   271  13.816   0.557   0.234
 1171   314  13.790   0.580   0.086
 1172   271  13.548   0.385   0.023
 1172   314  13.517   0.375  -0.063
 1173   271  13.615   0.700   0.466
 1173   314  13.600   0.730   0.389
 1174   314  11.843   0.328  -0.369
 1175   271  14.570   0.552   0.305
 1175   314  14.540   0.544   0.145
 1176   271  15.073   0.579   0.402
 1176   314  15.047   0.559   0.316
 1177   271  14.384   0.627   0.286
 1177   314  14.343   0.624   0.166
 1178   271  14.265   1.323   1.039
 1178   314  14.219   1.384   0.940
 1179   271  12.951   0.496  -0.062
 1179   314  12.942   0.454  -0.149
 1180   314  14.733   0.500   0.016
 1181   271  12.703   0.442  -0.150
 1181   314  12.715   0.380  -0.237
 1182   271  13.622   0.566   0.278
 1182   314  13.621   0.573   0.134
 1183   271  15.092   0.574   0.435
 1183   314  15.058   0.568   0.334
 1184   271  12.141   0.427  -0.230
 1184   314  12.126   0.400  -0.280
 1185   271  13.232   0.516  -0.012
 1185   314  13.216   0.493  -0.109
 1186   271  15.615   0.750   0.528
 1186   314  15.598   0.692   0.449
 1187   271  10.854   0.405  -0.295
 1187   314  10.843   0.385  -0.392
 1188   271  15.433   0.665   0.502
 1188   314  15.380   0.687   0.391
 1189   271  13.839   0.956   0.608
 1189   314  13.834   0.940   0.445
 1190   271  15.465   0.505  -0.022
 1190   314  15.382   0.575   0.148
 1191   271  14.752   0.577   0.306
 1191   314  14.733   0.555   0.202
 1192   271  14.981   0.620   0.387
 1192   314  14.959   0.581   0.290
 1193   271  15.460   0.693   0.514
 1193   314  15.443   0.652   0.430
 1194   271  14.581   1.492   1.236
 1195   271  13.487   0.393  -0.020
 1195   314  13.460   0.386  -0.096
 1196   271  10.636   0.333  -0.324
 1196   314  10.628   0.306  -0.450
 1197   271  13.246   0.371  -0.080
 1197   314  13.275   0.349  -0.185
 1198   271  13.842   0.509   0.010
 1198   314  13.830   0.475  -0.102
 1199   271  15.961   0.760   0.474
 1199   314  15.916   0.716   0.449
 1200   314  15.245   0.890   0.284
 1201   271  13.924   0.836   0.333
 1201   314  13.878   0.849   0.210
 1202   271  12.175   0.441  -0.149
 1202   314  12.170   0.398  -0.233
 1203   271  13.946   0.517   0.082
 1203   314  13.941   0.481  -0.032
 1204   314  13.353   0.420  -0.106
 1205   271  15.944   0.661   0.364
 1205   314  15.859   0.692   0.296
 1206   271  14.692   0.598   0.361
 1206   314  14.668   0.585   0.247
 1207   271  15.845   0.784   0.557
 1207   314  15.804   0.755   0.422
 1208   271  15.264   0.957   0.398
 1208   314  15.279   0.925   0.283
 1209   271  14.715   0.613   0.431
 1209   314  14.685   0.616   0.327
 1210   314  15.722   0.706   0.381
 1211   271  12.621   0.550   0.395
 1211   314  12.662   0.429   0.353
 1212   271  11.390   0.268  -0.297
 1212   314  11.360   0.255  -0.417
 1213   271  14.663   0.549   0.258
 1213   314  14.652   0.491   0.168
 1214   271  14.862   0.504   0.345
 1214   314  14.816   0.499   0.258
 1215   271  15.164   0.562   0.421
 1215   314  15.102   0.575   0.306
 1216   271  15.197   0.762   0.529
 1216   314  15.176   0.737   0.418
 1217   314  15.455   0.591   0.368
 1218   271  15.899   0.769   0.530
 1218   314  15.854   0.737   0.476
 1219   271  15.449   0.629   0.469
 1219   314  15.421   0.627   0.381
 1220   271  15.746   0.731   0.418
 1220   314  15.721   0.779   0.304
 1221   271  15.738   0.602   0.488
 1221   314  15.672   0.622   0.338
 1222   271  15.617   0.743   0.606
 1222   314  15.605   0.729   0.459
 1223   271  15.774   0.832   0.628
 1223   314  15.771   0.816   0.538
 1225   271  14.506   0.561   0.293
 1225   314  14.482   0.548   0.201
 1226   314  11.271   0.215  -0.508
 1227   271  15.630   0.757   0.486
 1227   314  15.611   0.745   0.403
 1228   271  15.539   0.611   0.420
 1228   314  15.469   0.642   0.329
 1229   271  15.865   0.712   0.473
